last_name, first_name,player_id,year,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,groundballs_percent,flyballs_percent,
Vosler, Jason,613564,2022,85.1,11.9,4.9,41.5,17.1,
Cordero, Franchy,614173,2022,90.9,12,12.2,39.8,27.6,
Reyes, Franmil,614177,2022,94.5,12.8,17.6,42.9,23.5,
Torrens, Luis,620443,2022,88.9,4.9,2.8,49.3,15.5,
Martin Jr., Richie,621006,2022,86.5,6.4,5,50,20,
Schrock, Max,621011,2022,83.4,14.9,0,44.4,11.1,
Swanson, Dansby,621020,2022,90.2,16.8,12,34.4,32,
Newman, Kevin,621028,2022,84.8,15.2,0,40.4,21.1,
Taylor, Chris,621035,2022,87.9,19,11.1,34.6,31.4,
Correa, Carlos,621043,2022,91.4,9.2,11.2,46.5,23.5,
Phillips, Brett,621433,2022,88.7,21.2,4.4,35.2,28.6,
Taylor, Tyrone,621438,2022,88.1,18.9,7.9,34.1,34.1,
Buxton, Byron,621439,2022,92.7,21.7,16.9,31.4,36,
Bolt, Skye,621450,2022,90.5,14.6,0,43.8,37.5,
Duggar, Steven,621453,2022,93,15.6,8,40,36,
Rios, Edwin,621458,2022,88.5,10.9,14,38,34,
Ward, Taylor,621493,2022,89.9,14.1,14.3,38.7,29.2,
Nido, Tomas,621512,2022,86.5,5.5,2.6,58.3,18.3,
Bemboom, Anthony,621532,2022,90.1,7,5.6,55.6,22.2,
Wisdom, Patrick,621550,2022,92.5,20.4,15.6,35,32.2,
Wendle, Joey,621563,2022,87.6,3.7,0.9,52.3,22,
Olson, Matt,621566,2022,92.4,15.1,11.6,42,25.6,
Duffy, Matt,622110,2022,86.5,8.3,1.9,48.1,22.1,
Munoz, Yairo,622168,2022,88.7,4,3.7,59.3,18.5,
Walton, Donovan,622268,2022,86.1,7.7,5,48.3,26.7,
Margot, Manuel,622534,2022,89.7,12,4.8,42.9,16.3,
Reyes, Pablo,622569,2022,83.7,0.1,0,66.7,8.3,
Camargo, Johan,622666,2022,86.6,12,2.8,43.9,24.3,
Reyes, Victor,622682,2022,87.3,8.5,4.6,46,14.9,
Mateo, Jorge,622761,2022,86.7,14,6.4,38,26.3,
Heineman, Tyler,623168,2022,83.2,22.7,0,37.2,26.9,
Velazquez, Andrew,623205,2022,89.3,11.5,5.7,44.3,28.6,
Bote, David,623520,2022,92.3,11.1,7.1,35.7,14.3,
Ramirez, Harold,623912,2022,89.4,4.5,5.8,53.2,16.3,
Santander, Anthony,623993,2022,90,20.8,9.5,33.6,26.3,
Alonso, Pete,624413,2022,89.8,19,13.4,36.6,28.7,
Arroyo, Christian,624414,2022,89,11.9,10.1,44.4,23.2,
Biggio, Cavan,624415,2022,88.4,19.6,11,34.1,37.8,
Frazier, Adam,624428,2022,85,12.3,1.5,41.6,21.9,
Trevino, Jose,624431,2022,88.7,11.8,6.1,46.2,27.3,
Gordon, Nick,624503,2022,91.6,10.9,12.3,45.7,28.3,
McGuire, Reese,624512,2022,84.9,14.4,2.6,42.2,21.6,
Nunez, Dom,624513,2022,85.3,15.8,4.3,30.4,43.5,
Soler, Jorge,624585,2022,90.9,13.9,12.1,42.2,27.7,
Sosa, Edmundo,624641,2022,87.1,11.1,3.7,49.4,21,
Heredia, Guillermo,628338,2022,86.8,14.7,16.1,35.5,41.9,
Hernandez, Yadiel,628450,2022,88.5,1.6,10.1,51.5,22.5,
Ibanez, Andy,628451,2022,88.3,14.9,6.1,43.9,29.6,
Cronenworth, Jake,630105,2022,87.7,18.2,5.4,35.3,33.3,
Frazier, Jackson,640449,2022,85.9,18,3.8,50,19.2,
Meadows, Austin,640457,2022,88,17.1,6.3,37.8,24.3,
Mercado, Oscar,640458,2022,86.3,22.2,6.5,32.3,35.5,
Pinder, Chad,640461,2022,88.6,8.3,5.9,52.9,19.9,
Azocar, Jose,640492,2022,87.3,10.5,2,50,26.5,
Anderson, Tim,641313,2022,88.1,3.2,6.7,56,17.2,
Bellinger, Cody,641355,2022,90.2,21.1,8.7,35.7,32.1,
Calhoun, Willie,641432,2022,89.8,12.6,2.6,36.8,31.6,
Collins, Zack,641470,2022,93.2,26.7,13.2,18.4,50,
Crawford, J.P.,641487,2022,84.4,11.4,2.8,41.4,18.5,
Davis, Jonathan,641505,2022,83.4,7.5,0,50,17.9,
Delay, Jason,641511,2022,81,11.8,7.7,38.5,7.7,
Demeritte, Travis,641513,2022,88.8,9.7,6.9,50,22.4,
Dozier, Hunter,641531,2022,89.3,14.7,9.2,43.5,24.2,
Engel, Adam,641553,2022,88.4,14.1,1,39,21,
Fraley, Jake,641584,2022,85.2,20.4,3.2,32.3,41.9,
Garver, Mitch,641598,2022,88.9,18.4,8.8,34.3,38,
Guillorme, Luis,641645,2022,87.1,3.9,2.6,56.5,14.3,
Hampson, Garrett,641658,2022,85.6,12.2,4.1,52.1,27.4,
Heim, Jonah,641680,2022,89.9,15.4,7.6,40.9,32.2,
Hermosillo, Michael,641684,2022,85.8,17.5,21.4,42.9,14.3,
Katoh, Gosuke,641741,2022,83.3,25.6,0,71.4,14.3,
Lewis, Kyle,641786,2022,90.1,13.4,14.3,57.1,14.3,
